,O,H,L,C,V,date
206,6909.04,6909.96,6581.35,6855.31,5990.02669,2020-04-13 02:00:00
207,6855.01,6988.06,6749.43,6877.23,4141.4692,2020-04-14 02:00:00
208,6877.22,6939.47,6610.7,6622.99,4260.423272,2020-04-15 02:00:00
209,6623.01,7208.52,6476.78,7112.49,8371.307515,2020-04-16 02:00:00
210,7114.28,7152.0,6996.61,7033.72,3727.089614,2020-04-17 02:00:00
211,7033.45,7303.2,7022.53,7259.3,2951.781799,2020-04-18 02:00:00
212,7259.5,7274.19,7062.56,7131.31,3472.188211,2020-04-19 02:00:00
213,7130.98,7223.45,6748.15,6840.5,5298.267673,2020-04-20 02:00:00
214,6837.84,6951.0,6772.07,6850.65,4878.859754,2020-04-21 02:00:00
215,6850.34,7166.33,6825.34,7133.15,3900.836529,2020-04-22 02:00:00
216,7134.93,7766.89,7032.94,7490.61,6996.117412,2020-04-23 02:00:00
217,7490.62,7659.0,7394.06,7511.21,5052.425202,2020-04-24 02:00:00
218,7511.22,7714.34,7435.52,7545.92,2910.964119,2020-04-25 02:00:00
219,7545.91,7710.31,7482.48,7703.16,3698.185476,2020-04-26 02:00:00
220,7702.33,7800.0,7633.16,7785.89,4217.288772,2020-04-27 02:00:00
221,7787.54,7792.7,7670.83,7752.63,3583.671895,2020-04-28 02:00:00
222,7752.55,8975.0,7720.0,8785.99,12046.016021,2020-04-29 02:00:00
223,8786.25,9472.04,8408.0,8625.69,14027.354734,2020-04-30 02:00:00
224,8625.68,9070.0,8619.74,8828.7,8336.461432,2020-05-01 02:00:00
225,8828.78,9018.03,8759.49,8980.54,4014.768598,2020-05-02 02:00:00
226,8981.04,9203.37,8727.43,8902.71,7031.255964,2020-05-03 02:00:00
227,8902.75,8964.76,8534.27,8882.88,5920.127578,2020-05-04 02:00:00
228,8883.73,9118.41,8762.85,9025.28,5264.921891,2020-05-05 02:00:00
229,9026.14,9412.8,8918.36,9155.19,6784.542756,2020-05-06 02:00:00
230,9154.07,10073.45,9034.75,9999.02,8670.852733,2020-05-07 02:00:00
231,9999.62,10051.16,9725.89,9810.2,6857.675075,2020-05-08 02:00:00
232,9810.21,9920.26,9523.0,9537.51,5727.952042,2020-05-09 02:00:00
233,9537.5,9568.19,6011.0,8726.75,18111.929132,2020-05-10 02:00:00
234,8726.21,9172.71,8200.1,8564.38,13332.928825,2020-05-11 02:00:00
235,8566.68,8980.99,8533.74,8818.06,5537.649329,2020-05-12 02:00:00
236,8816.91,9411.1,8798.97,9318.34,5380.928787,2020-05-13 02:00:00
237,9318.21,9945.37,9266.57,9794.89,8011.400891,2020-05-14 02:00:00
238,9795.04,9847.57,9119.65,9307.55,8199.646043,2020-05-15 02:00:00
239,9306.28,9584.68,9212.16,9381.74,4772.490169,2020-05-16 02:00:00
240,9381.74,9889.0,9324.27,9677.28,5325.51475,2020-05-17 02:00:00
241,9677.27,9950.0,9464.38,9724.47,6927.776812,2020-05-18 02:00:00
242,9724.48,9899.72,9466.0,9775.11,9224.653819,2020-05-19 02:00:00
243,9774.61,9835.0,9302.44,9505.45,8566.329053,2020-05-20 02:00:00
244,9505.59,9569.76,8800.75,9058.04,11463.249577,2020-05-21 02:00:00
245,9058.01,9260.0,8923.07,9168.97,5215.398664,2020-05-22 02:00:00
246,9168.91,9308.16,9083.27,9177.76,2954.846163,2020-05-23 02:00:00
247,9177.7,9298.25,8685.43,8713.48,5142.619863,2020-05-24 02:00:00
248,8714.09,8976.4,8635.06,8896.18,5551.054975,2020-05-25 02:00:00
249,8896.18,9000.0,8692.36,8840.65,4729.105032,2020-05-26 02:00:00
250,8840.7,9227.03,8808.89,9202.59,4649.687575,2020-05-27 02:00:00
251,9202.87,9624.53,9111.22,9580.0,5943.914891,2020-05-28 02:00:00
252,9579.16,9606.33,9327.73,9421.32,4636.694523,2020-05-29 02:00:00
253,9421.19,9749.0,9328.57,9699.2,4266.873307,2020-05-30 02:00:00
254,9699.33,9701.03,9383.45,9441.94,4318.076996,2020-05-31 02:00:00
255,9441.78,10395.58,9413.67,10213.1,6821.919275,2020-06-01 02:00:00
