,2K-mean,KNN,2KNN,Actual_price,Error
220,8269.31,7752.63,8785.99,8625.69,356.380000000001
221,8705.84,8785.99,8625.69,8828.7,122.86000000000058
222,8727.195,8625.69,8828.7,8980.54,253.34500000000116
223,8904.62,8828.7,8980.54,8902.71,-1.9100000000016735
224,8941.625,8980.54,8902.71,8882.88,-58.7450000000008
225,8892.794999999998,8902.71,8882.88,9025.28,132.4850000000024
226,8954.08,8882.88,9025.28,9155.19,201.11000000000058
227,9090.235,9025.28,9155.19,9999.02,908.7849999999999
228,9577.105,9155.19,9999.02,9810.2,233.09500000000116
229,9904.61,9999.02,9810.2,9537.51,-367.10000000000036
230,9673.855,9810.2,9537.51,8726.75,-947.1049999999996
231,9132.130000000001,9537.51,8726.75,8564.38,-567.7500000000018
232,8645.564999999999,8726.75,8564.38,8818.06,172.4950000000008
233,8691.22,8564.38,8818.06,9318.34,627.1200000000008
234,9068.2,8818.06,9318.34,9794.89,726.6899999999987
235,9556.615,9318.34,9794.89,9307.55,-249.0650000000005
236,9551.22,9794.89,9307.55,9381.74,-169.47999999999956
237,9344.645,9307.55,9381.74,9677.28,332.6350000000002
238,9529.51,9381.74,9677.28,9724.47,194.95999999999913
239,9700.875,9677.28,9724.47,9775.11,74.23500000000058
240,9749.79,9724.47,9775.11,9505.45,-244.34000000000015
241,9640.28,9775.11,9505.45,9058.04,-582.2399999999998
242,9281.745,9505.45,9058.04,9168.97,-112.77500000000146
243,9113.505000000001,9058.04,9168.97,9177.76,64.2549999999992
244,9173.365,9168.97,9177.76,8713.48,-459.8850000000002
245,8945.619999999999,9177.76,8713.48,8896.18,-49.43999999999869
246,8804.83,8713.48,8896.18,8840.65,35.81999999999971
247,8868.415,8896.18,8840.65,9202.59,334.1749999999993
248,9021.619999999999,8840.65,9202.59,9580.0,558.380000000001
249,9391.295,9202.59,9580.0,9421.32,30.024999999999636
250,9500.66,9580.0,9421.32,9699.2,198.54000000000087
251,9560.26,9421.32,9699.2,9441.94,-118.31999999999971
252,9570.57,9699.2,9441.94,10213.1,642.5300000000007
253,9827.52,9441.94,10213.1,9517.5,-310.02000000000044
254,9865.3,10213.1,9517.5,9664.73,-200.5699999999997
255,9591.115,9517.5,9664.73,9791.63,200.51499999999942
256,9728.18,9664.73,9791.63,9616.57,-111.61000000000058
257,9704.099999999999,9791.63,9616.57,9666.23,-37.86999999999898
258,9641.4,9616.57,9666.23,9751.76,110.36000000000058
259,9708.994999999999,9666.23,9751.76,9785.52,76.52500000000146
260,9768.64,9751.76,9785.52,9779.74,11.100000000000364
261,9782.630000000001,9785.52,9779.74,9890.27,107.63999999999942
262,9835.005000000001,9779.74,9890.27,9267.6,-567.4050000000007
263,9578.935000000001,9890.27,9267.6,9463.6,-115.33500000000095
264,9365.6,9267.6,9463.6,9473.83,108.22999999999956
265,9468.715,9463.6,9473.83,9334.3,-134.41500000000087
266,9404.064999999999,9473.83,9334.3,9427.1,23.035000000001673
267,9380.7,9334.3,9427.1,9525.19,144.48999999999978
268,9476.145,9427.1,9525.19,9454.02,-22.125
269,9489.605,9525.19,9454.02,9373.45,-116.15499999999884
270,9413.735,9454.02,9373.45,9294.5,-119.23500000000058
271,9333.975,9373.45,9294.5,9352.93,18.954999999999927
272,9323.715,9294.5,9352.93,9280.84,-42.875
273,9316.885,9352.93,9280.84,9685.58,368.6949999999997
274,9483.21,9280.84,9685.58,9621.22,138.01000000000022
275,9653.4,9685.58,9621.22,9283.97,-369.4300000000003
276,9452.595,9621.22,9283.97,9242.26,-210.33499999999913
277,9263.115,9283.97,9242.26,9152.93,-110.18499999999949
278,9197.595000000001,9242.26,9152.93,9001.85,-195.7450000000008
279,9077.39,9152.93,9001.85,9111.79,34.400000000001455
280,9056.82,9001.85,9111.79,9186.63,129.8099999999995
281,9149.21,9111.79,9186.63,9134.64,-14.569999999999709
282,9160.634999999998,9186.63,9134.64,9232.97,72.33500000000095
283,9183.805,9134.64,9232.97,9086.99,-96.81500000000051
284,9159.98,9232.97,9086.99,9056.24,-103.73999999999978
285,9071.615,9086.99,9056.24,9137.72,66.10499999999956
286,9096.98,9056.24,9137.72,9073.03,-23.94999999999891
287,9105.375,9137.72,9073.03,9343.16,237.78499999999985
288,9208.095000000001,9073.03,9343.16,9256.05,47.95499999999811
